_id,FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS,ARCHIVED_RESOLVED_CASES,ARCHIVED_DEATHS
1,2020-04-01T00:00:00,ALGOMA DISTRICT,2226.0,4,1,0,1.0,0.0
2,2020-04-01T00:00:00,BRANT COUNTY,2227.0,10,5,0,5.0,0.0
3,2020-04-01T00:00:00,CHATHAM-KENT,2240.0,6,2,0,2.0,0.0
4,2020-04-01T00:00:00,CITY OF HAMILTON,2237.0,54,48,0,48.0,0.0
5,2020-04-01T00:00:00,CITY OF OTTAWA,2251.0,136,55,0,55.0,0.0
6,2020-04-01T00:00:00,DURHAM REGION,2230.0,94,44,0,44.0,0.0
7,2020-04-01T00:00:00,EASTERN ONTARIO,2258.0,10,8,0,8.0,0.0
8,2020-04-01T00:00:00,GREY BRUCE,2233.0,5,7,0,7.0,0.0
9,2020-04-01T00:00:00,HALDIMAND-NORFOLK,2234.0,22,2,0,2.0,0.0
10,2020-04-01T00:00:00,"HALIBURTON, KAWARTHA, PINE RIDGE",2235.0,43,17,0,17.0,0.0
11,2020-04-01T00:00:00,HALTON REGION,2236.0,35,29,0,29.0,0.0
12,2020-04-01T00:00:00,HASTINGS & PRINCE EDWARD COUNTIES,2238.0,5,4,0,4.0,0.0
13,2020-04-01T00:00:00,HURON PERTH,5183.0,8,2,0,2.0,0.0
14,2020-04-01T00:00:00,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241.0,39,5,0,5.0,0.0
15,2020-04-01T00:00:00,LAMBTON COUNTY,2242.0,38,5,0,5.0,0.0
16,2020-04-01T00:00:00,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243.0,23,2,0,2.0,0.0
17,2020-04-01T00:00:00,MIDDLESEX-LONDON,2244.0,44,11,0,11.0,0.0
18,2020-04-01T00:00:00,NIAGARA REGION,2246.0,28,23,0,23.0,0.0
19,2020-04-01T00:00:00,NORTH BAY PARRY SOUND DISTRICT,2247.0,1,3,0,3.0,0.0
20,2020-04-01T00:00:00,NORTHWESTERN,2249.0,1,2,0,2.0,0.0
21,2020-04-01T00:00:00,OXFORD ELGIN-ST.THOMAS,4913.0,6,3,0,3.0,0.0
22,2020-04-01T00:00:00,PEEL REGION,2253.0,234,54,0,54.0,0.0
23,2020-04-01T00:00:00,PETERBOROUGH COUNTY-CITY,2255.0,22,6,0,6.0,0.0
24,2020-04-01T00:00:00,PORCUPINE,2256.0,10,5,0,5.0,0.0
25,2020-04-01T00:00:00,RENFREW COUNTY AND DISTRICT,2257.0,3,1,0,1.0,0.0
26,2020-04-01T00:00:00,SIMCOE MUSKOKA DISTRICT,2260.0,38,16,0,16.0,0.0
27,2020-04-01T00:00:00,SUDBURY AND DISTRICT,2261.0,6,4,0,4.0,0.0
28,2020-04-01T00:00:00,THUNDER BAY DISTRICT,2262.0,4,0,0,0.0,0.0
29,2020-04-01T00:00:00,TIMISKAMING,2263.0,0,2,0,2.0,0.0
30,2020-04-01T00:00:00,TORONTO,3895.0,430,205,0,205.0,0.0
