_id,date,oh_region,icu_current_covid,icu_current_covid_vented,hospitalizations,icu_crci_total,icu_crci_total_vented,icu_former_covid,icu_former_covid_vented
1,2020-04-02,CENTRAL,51,39,113,0,0,0,0
2,2020-04-03,CENTRAL,57,52,141,0,0,0,0
3,2020-04-04,CENTRAL,65,57,143,0,0,0,0
4,2020-04-05,CENTRAL,65,55,174,0,0,0,0
5,2020-04-06,CENTRAL,73,58,187,0,0,0,0
6,2020-04-07,CENTRAL,83,68,183,0,0,0,0
7,2020-04-08,CENTRAL,85,68,203,0,0,0,0
8,2020-04-09,CENTRAL,92,73,205,0,0,0,0
9,2020-04-10,CENTRAL,88,73,218,0,0,0,0
10,2020-04-11,CENTRAL,90,77,230,0,0,0,0
11,2020-04-12,CENTRAL,93,70,237,0,0,0,0
12,2020-04-13,CENTRAL,92,78,248,0,0,0,0
13,2020-04-14,CENTRAL,89,73,265,0,0,0,0
14,2020-04-15,CENTRAL,89,74,284,0,0,0,0
15,2020-04-16,CENTRAL,86,67,287,0,0,0,0
16,2020-04-17,CENTRAL,86,72,293,0,0,0,0
17,2020-04-18,CENTRAL,90,74,298,0,0,0,0
18,2020-04-19,CENTRAL,88,73,299,0,0,0,0
19,2020-04-20,CENTRAL,87,74,309,0,0,0,0
20,2020-04-21,CENTRAL,88,72,317,0,0,0,0
21,2020-04-22,CENTRAL,85,68,316,0,0,0,0
22,2020-04-23,CENTRAL,85,67,320,0,0,0,0
23,2020-04-24,CENTRAL,88,67,351,0,0,0,0
24,2020-04-25,CENTRAL,91,73,367,0,0,0,0
25,2020-04-26,CENTRAL,92,70,383,0,0,0,0
26,2020-04-27,CENTRAL,91,70,382,0,0,0,0
27,2020-04-28,CENTRAL,89,65,370,0,0,0,0
28,2020-04-29,CENTRAL,86,64,381,0,0,0,0
29,2020-04-30,CENTRAL,86,61,402,0,0,0,0
30,2020-05-01,CENTRAL,79,59,411,86,64,7,5
31,2020-05-02,CENTRAL,79,55,415,83,64,4,9
32,2020-05-03,CENTRAL,87,65,396,91,67,4,2
33,2020-05-04,CENTRAL,85,66,396,89,69,4,3
34,2020-05-05,CENTRAL,86,67,433,90,72,4,5
35,2020-05-06,CENTRAL,84,67,435,90,74,6,7
36,2020-05-07,CENTRAL,83,60,433,86,70,3,10
37,2020-05-08,CENTRAL,81,64,437,85,69,4,5
38,2020-05-09,CENTRAL,78,63,445,82,68,4,5
39,2020-05-10,CENTRAL,76,53,391,80,63,4,10
40,2020-05-11,CENTRAL,75,58,433,81,64,6,6
41,2020-05-12,CENTRAL,78,60,445,83,63,5,3
42,2020-05-13,CENTRAL,76,56,452,80,59,4,3
43,2020-05-14,CENTRAL,74,55,458,77,59,3,4
44,2020-05-15,CENTRAL,73,56,451,77,60,4,4
45,2020-05-16,CENTRAL,74,59,458,78,63,4,4
46,2020-05-17,CENTRAL,65,57,439,70,60,5,3
47,2020-05-18,CENTRAL,68,56,439,73,59,5,3
48,2020-05-19,CENTRAL,66,53,444,76,60,10,7
49,2020-05-20,CENTRAL,67,51,453,78,59,11,8
50,2020-05-21,CENTRAL,66,52,449,77,60,11,8
51,2020-05-22,CENTRAL,64,52,429,76,61,12,9
52,2020-05-23,CENTRAL,63,52,409,78,62,15,10
53,2020-05-24,CENTRAL,64,49,395,80,64,16,15
54,2020-05-25,CENTRAL,61,50,402,76,64,15,14
55,2020-05-26,CENTRAL,62,50,386,77,64,15,14
56,2020-05-27,CENTRAL,65,54,388,78,64,13,10
57,2020-05-28,CENTRAL,66,42,389,79,63,13,21
58,2020-05-29,CENTRAL,61,52,383,76,62,15,10
59,2020-05-30,CENTRAL,60,39,387,75,60,15,21
60,2020-05-31,CENTRAL,60,47,368,76,56,16,9
61,2020-06-01,CENTRAL,62,48,359,76,57,14,9
62,2020-06-02,CENTRAL,61,47,378,75,56,14,9
63,2020-06-03,CENTRAL,62,49,384,75,60,13,11
64,2020-06-04,CENTRAL,58,45,380,72,54,14,9
65,2020-06-05,CENTRAL,57,45,364,71,55,14,10
66,2020-06-06,CENTRAL,58,48,326,71,56,13,8
67,2020-06-07,CENTRAL,55,45,320,66,55,11,10
68,2020-06-08,CENTRAL,53,41,304,64,51,11,10
69,2020-06-09,CENTRAL,51,41,285,62,48,11,7
70,2020-06-10,CENTRAL,52,39,282,62,47,10,8
71,2020-06-11,CENTRAL,53,40,252,64,48,11,8
72,2020-06-12,CENTRAL,48,34,231,60,46,12,12
73,2020-06-13,CENTRAL,46,21,222,58,39,12,18
74,2020-06-14,CENTRAL,45,30,206,57,41,12,11
75,2020-06-15,CENTRAL,44,23,193,57,35,13,12
76,2020-06-16,CENTRAL,42,27,191,56,38,14,11
77,2020-06-17,CENTRAL,37,24,175,50,34,13,10
78,2020-06-18,CENTRAL,33,19,167,48,30,15,11
79,2020-06-19,CENTRAL,31,23,149,46,30,15,7
80,2020-06-20,CENTRAL,29,22,157,46,35,17,13
81,2020-06-21,CENTRAL,31,22,146,48,34,17,12
82,2020-06-22,CENTRAL,24,17,143,44,30,20,13
83,2020-06-23,CENTRAL,25,18,148,45,30,20,12
84,2020-06-24,CENTRAL,24,18,139,42,32,18,14
85,2020-06-25,CENTRAL,22,19,132,40,32,18,13
86,2020-06-26,CENTRAL,21,17,126,40,29,19,12
87,2020-06-27,CENTRAL,19,15,122,39,29,20,14
88,2020-06-28,CENTRAL,19,14,108,39,27,20,13
89,2020-06-29,CENTRAL,19,14,111,40,25,21,11
90,2020-06-30,CENTRAL,16,14,99,34,24,18,10
91,2020-07-01,CENTRAL,18,13,104,32,22,14,9
92,2020-07-02,CENTRAL,19,12,62,35,23,16,11
93,2020-07-03,CENTRAL,19,12,62,34,23,15,11
94,2020-07-05,CENTRAL,18,9,50,31,15,13,6
95,2020-07-06,CENTRAL,18,9,49,30,17,12,8
96,2020-07-07,CENTRAL,17,11,50,28,18,11,7
97,2020-07-08,CENTRAL,17,13,48,27,19,10,6
98,2020-07-09,CENTRAL,15,11,47,25,17,10,6
99,2020-07-10,CENTRAL,17,11,44,26,17,9,6
100,2020-07-11,CENTRAL,14,9,52,23,15,9,6
101,2020-07-12,CENTRAL,14,10,45,23,15,9,5
102,2020-07-13,CENTRAL,12,10,47,20,15,8,5
103,2020-07-14,CENTRAL,13,11,46,21,16,8,5
104,2020-07-15,CENTRAL,14,12,45,21,18,7,6
105,2020-07-16,CENTRAL,15,11,45,22,16,7,5
106,2020-07-17,CENTRAL,15,11,36,23,16,8,5
107,2020-07-18,CENTRAL,16,12,33,23,15,7,3
108,2020-07-19,CENTRAL,15,11,33,21,14,6,3
109,2020-07-20,CENTRAL,15,12,34,21,16,6,4
110,2020-07-21,CENTRAL,15,11,37,21,14,6,3
111,2020-07-22,CENTRAL,17,10,43,22,12,5,2
112,2020-07-23,CENTRAL,17,9,40,22,10,5,1
113,2020-07-24,CENTRAL,15,9,34,20,11,5,2
114,2020-07-25,CENTRAL,15,9,34,19,11,4,2
115,2020-07-26,CENTRAL,14,9,30,18,11,4,2
116,2020-07-27,CENTRAL,16,8,29,20,10,4,2
117,2020-07-28,CENTRAL,16,9,32,19,11,3,2
118,2020-07-29,CENTRAL,13,8,31,16,10,3,2
119,2020-07-30,CENTRAL,13,7,29,16,10,3,3
120,2020-07-31,CENTRAL,12,7,27,16,11,4,4
121,2020-08-01,CENTRAL,12,7,27,16,10,4,3
122,2020-08-02,CENTRAL,11,8,26,17,13,6,5
123,2020-08-03,CENTRAL,10,8,31,16,13,6,5
124,2020-08-04,CENTRAL,10,8,29,15,13,5,5
125,2020-08-05,CENTRAL,11,8,24,15,12,4,4
