_id,Date,Agegroup,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated,Percent_3doses
1,2020-12-16,12-17yrs,0,0.0,,,951519,0.0,0.0,
2,2020-12-16,18-29yrs,45,0.0,,,2455535,0.0,0.0,
3,2020-12-16,30-39yrs,66,0.0,,,2056059,0.0,0.0,
4,2020-12-16,40-49yrs,98,0.0,,,1876583,0.0,0.0,
5,2020-12-16,50-59yrs,141,0.0,,,2060934,0.0,0.0,
6,2020-12-16,60-69yrs,65,0.0,,,1795046,0.0,0.0,
7,2020-12-16,70-79yrs,15,0.0,,,1159902,0.0,0.0,
8,2020-12-16,80+,0,0.0,,,679266,0.0,0.0,
9,2020-12-16,Adults_18plus,430,0.0,,,12083325,0.0,0.0,
10,2020-12-16,Ontario_12plus,430,0.0,,,13034844,0.0,0.0,
11,2020-12-16,Undisclosed_or_missing,0,0.0,,,0,,,
12,2020-12-17,12-17yrs,0,0.0,,,951519,0.0,0.0,
13,2020-12-17,18-29yrs,122,0.0,,,2455535,0.0,0.0,
14,2020-12-17,30-39yrs,181,0.0,,,2056059,0.0,0.0,
15,2020-12-17,40-49yrs,271,0.0,,,1876583,0.0,0.0,
16,2020-12-17,50-59yrs,329,0.0,,,2060934,0.0,0.0,
17,2020-12-17,60-69yrs,164,0.0,,,1795046,0.0,0.0,
18,2020-12-17,70-79yrs,26,0.0,,,1159902,0.0,0.0,
19,2020-12-17,80+,0,0.0,,,679266,0.0,0.0,
20,2020-12-17,Adults_18plus,1093,0.0,,,12083325,0.0,0.0,
21,2020-12-17,Ontario_12plus,1093,0.0,,,13034844,0.0001,0.0,
22,2020-12-17,Undisclosed_or_missing,0,0.0,,,0,,,
23,2020-12-18,12-17yrs,0,0.0,,,951519,0.0,0.0,
24,2020-12-18,18-29yrs,234,0.0,,,2455535,0.0,0.0,
25,2020-12-18,30-39yrs,352,0.0,,,2056059,0.0,0.0,
26,2020-12-18,40-49yrs,499,0.0,,,1876583,0.0,0.0,
27,2020-12-18,50-59yrs,601,0.0,,,2060934,0.0,0.0,
28,2020-12-18,60-69yrs,305,0.0,,,1795046,0.0,0.0,
29,2020-12-18,70-79yrs,48,0.0,,,1159902,0.0,0.0,
30,2020-12-18,80+,1,0.0,,,679266,0.0,0.0,
31,2020-12-18,Adults_18plus,2040,0.0,,,12083325,0.0,0.0,
32,2020-12-18,Ontario_12plus,2040,0.0,,,13034844,0.0002,0.0,
33,2020-12-18,Undisclosed_or_missing,0,0.0,,,0,,,
34,2020-12-19,12-17yrs,0,0.0,,,951519,0.0,0.0,
35,2020-12-19,18-29yrs,325,0.0,,,2455535,0.0,0.0,
36,2020-12-19,30-39yrs,490,0.0,,,2056059,0.0,0.0,
37,2020-12-19,40-49yrs,732,0.0,,,1876583,0.0,0.0,
38,2020-12-19,50-59yrs,880,0.0,,,2060934,0.0,0.0,
39,2020-12-19,60-69yrs,471,0.0,,,1795046,0.0,0.0,
40,2020-12-19,70-79yrs,69,0.0,,,1159902,0.0,0.0,
41,2020-12-19,80+,2,0.0,,,679266,0.0,0.0,
42,2020-12-19,Adults_18plus,2969,0.0,,,12083325,0.0,0.0,
43,2020-12-19,Ontario_12plus,2969,0.0,,,13034844,0.0002,0.0,
44,2020-12-19,Undisclosed_or_missing,0,0.0,,,0,,,
45,2020-12-20,12-17yrs,0,0.0,,,951519,0.0,0.0,
46,2020-12-20,18-29yrs,325,0.0,,,2455535,0.0,0.0,
47,2020-12-20,30-39yrs,490,0.0,,,2056059,0.0,0.0,
48,2020-12-20,40-49yrs,732,0.0,,,1876583,0.0,0.0,
49,2020-12-20,50-59yrs,880,0.0,,,2060934,0.0,0.0,
50,2020-12-20,60-69yrs,471,0.0,,,1795046,0.0,0.0,
51,2020-12-20,70-79yrs,69,0.0,,,1159902,0.0,0.0,
52,2020-12-20,80+,2,0.0,,,679266,0.0,0.0,
53,2020-12-20,Adults_18plus,2969,0.0,,,12083325,0.0,0.0,
54,2020-12-20,Ontario_12plus,2969,0.0,,,13034844,0.0002,0.0,
55,2020-12-20,Undisclosed_or_missing,0,0.0,,,0,,,
56,2020-12-21,12-17yrs,0,0.0,,,951519,0.0,0.0,
57,2020-12-21,18-29yrs,325,0.0,,,2455535,0.0,0.0,
58,2020-12-21,30-39yrs,490,0.0,,,2056059,0.0,0.0,
59,2020-12-21,40-49yrs,732,0.0,,,1876583,0.0,0.0,
60,2020-12-21,50-59yrs,880,0.0,,,2060934,0.0,0.0,
61,2020-12-21,60-69yrs,471,0.0,,,1795046,0.0,0.0,
62,2020-12-21,70-79yrs,69,0.0,,,1159902,0.0,0.0,
63,2020-12-21,80+,2,0.0,,,679266,0.0,0.0,
64,2020-12-21,Adults_18plus,2969,0.0,,,12083325,0.0,0.0,
65,2020-12-21,Ontario_12plus,2969,0.0,,,13034844,0.0002,0.0,
66,2020-12-21,Undisclosed_or_missing,0,0.0,,,0,,,
67,2020-12-22,12-17yrs,2,0.0,,,951519,0.0,0.0,
68,2020-12-22,18-29yrs,408,0.0,,,2455535,0.0,0.0,
69,2020-12-22,30-39yrs,566,0.0,,,2056059,0.0,0.0,
70,2020-12-22,40-49yrs,838,0.0,,,1876583,0.0,0.0,
71,2020-12-22,50-59yrs,1057,0.0,,,2060934,0.001,0.0,
72,2020-12-22,60-69yrs,563,0.0,,,1795046,0.0,0.0,
73,2020-12-22,70-79yrs,89,0.0,,,1159902,0.0,0.0,
74,2020-12-22,80+,3,0.0,,,679266,0.0,0.0,
75,2020-12-22,Adults_18plus,3524,0.0,,,12083325,0.0,0.0,
76,2020-12-22,Ontario_12plus,3526,0.0,,,13034844,0.0003,0.0,
77,2020-12-22,Undisclosed_or_missing,0,0.0,,,0,,,
78,2020-12-23,12-17yrs,6,0.0,,,951519,0.0,0.0,
79,2020-12-23,18-29yrs,688,0.0,,,2455535,0.0,0.0,
80,2020-12-23,30-39yrs,956,0.0,,,2056059,0.0,0.0,
81,2020-12-23,40-49yrs,1313,0.0,,,1876583,0.001,0.0,
82,2020-12-23,50-59yrs,1610,0.0,,,2060934,0.001,0.0,
83,2020-12-23,60-69yrs,891,0.0,,,1795046,0.0,0.0,
84,2020-12-23,70-79yrs,146,0.0,,,1159902,0.0,0.0,
85,2020-12-23,80+,115,0.0,,,679266,0.0,0.0,
86,2020-12-23,Adults_18plus,5719,0.0,,,12083325,0.0,0.0,
87,2020-12-23,Ontario_12plus,5725,0.0,,,13034844,0.0004,0.0,
88,2020-12-23,Undisclosed_or_missing,1,0.0,,,0,,,
89,2020-12-24,12-17yrs,12,0.0,,,951519,0.0,0.0,
90,2020-12-24,18-29yrs,1147,0.0,,,2455535,0.0,0.0,
91,2020-12-24,30-39yrs,1569,0.0,,,2056059,0.001,0.0,
92,2020-12-24,40-49yrs,2010,0.0,,,1876583,0.001,0.0,
93,2020-12-24,50-59yrs,2515,0.0,,,2060934,0.001,0.0,
94,2020-12-24,60-69yrs,1469,0.0,,,1795046,0.001,0.0,
95,2020-12-24,70-79yrs,262,0.0,,,1159902,0.0,0.0,
96,2020-12-24,80+,264,0.0,,,679266,0.0,0.0,
97,2020-12-24,Adults_18plus,9236,0.0,,,12083325,0.001,0.0,
98,2020-12-24,Ontario_12plus,9248,0.0,,,13034844,0.0007,0.0,
99,2020-12-24,Undisclosed_or_missing,3,0.0,,,0,,,
