_id,report_date,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,total_doses_administered,total_individuals_at_least_one,total_individuals_partially_vaccinated,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated,total_individuals_3doses
1,2020-12-24T00:00:00,,,,,10756,,,,,
2,2020-12-30T00:00:00,7847.0,,,,18603,,,,,
3,2020-12-31T00:00:00,4899.0,,,,23502,,,,,
4,2021-01-01T00:00:00,5385.0,,,,28887,,,,,
5,2021-01-02T00:00:00,4304.0,,,,33191,,,,,
6,2021-01-03T00:00:00,4360.0,,,,37551,,,,,
7,2021-01-04T00:00:00,4868.0,,,,42419,,,,,
8,2021-01-05T00:00:00,7611.0,,,,50030,,,,,
9,2021-01-06T00:00:00,10350.0,,,,60380,59950.0,,860.0,430.0,
10,2021-01-07T00:00:00,12251.0,11594.0,657.0,,72631,71544.0,,2173.0,1087.0,
11,2021-01-08T00:00:00,14932.0,13992.0,940.0,,87563,85536.0,,4053.0,2027.0,
12,2021-01-09T00:00:00,15700.0,14787.0,913.0,,103263,100323.0,,5880.0,2940.0,
13,2021-01-10T00:00:00,9983.0,9981.0,2.0,,113246,110304.0,,5884.0,2942.0,
14,2021-01-11T00:00:00,8859.0,8859.0,0.0,,122105,119163.0,,5884.0,2942.0,
15,2021-01-12T00:00:00,11448.0,11367.0,81.0,,133553,130530.0,,6046.0,3023.0,
16,2021-01-13T00:00:00,11231.0,9865.0,1366.0,,144784,140395.0,,8778.0,4389.0,
17,2021-01-14T00:00:00,14237.0,11979.0,2258.0,,159021,152374.0,,13293.0,6647.0,
18,2021-01-15T00:00:00,15609.0,13709.0,1900.0,,174630,166083.0,,17094.0,8547.0,
19,2021-01-16T00:00:00,14460.0,13340.0,1120.0,,189090,179423.0,,19333.0,9667.0,
20,2021-01-17T00:00:00,11007.0,9817.0,1190.0,,200097,189240.0,,21714.0,10857.0,
21,2021-01-18T00:00:00,9691.0,9672.0,19.0,,209788,198912.0,,21752.0,10876.0,
22,2021-01-19T00:00:00,14346.0,12417.0,1929.0,,224134,211329.0,,25609.0,12805.0,
23,2021-01-20T00:00:00,13784.0,10408.0,3376.0,,237918,221737.0,,32361.0,16181.0,
24,2021-01-21T00:00:00,15899.0,11967.0,3932.0,,253817,233704.0,,40225.0,20113.0,
25,2021-01-22T00:00:00,11168.0,6635.0,4533.0,,264985,240339.0,,49292.0,24646.0,
26,2021-01-23T00:00:00,11161.0,6853.0,4308.0,,276146,247192.0,,57907.0,28954.0,
27,2021-01-24T00:00:00,4427.0,1940.0,2487.0,,280573,249132.0,,62881.0,31441.0,
28,2021-01-25T00:00:00,5537.0,1350.0,4187.0,,286110,250482.0,,71256.0,35628.0,
29,2021-01-26T00:00:00,9707.0,3692.0,6015.0,,295817,254174.0,,83285.0,41643.0,
30,2021-01-27T00:00:00,9513.0,2926.0,6587.0,,305330,257100.0,,96459.0,48230.0,
31,2021-01-28T00:00:00,11910.0,4854.0,7056.0,,317240,261954.0,,110571.0,55286.0,
32,2021-01-29T00:00:00,10215.0,3822.0,6393.0,,327455,265776.0,,123357.0,61679.0,
33,2021-01-30T00:00:00,9373.0,3265.0,6108.0,,336828,269041.0,,135574.0,67787.0,
34,2021-01-31T00:00:00,2816.0,1754.0,1062.0,,339644,270795.0,,137698.0,68849.0,
35,2021-02-01T00:00:00,2256.0,812.0,1444.0,,341900,271607.0,,140585.0,70293.0,
36,2021-02-02T00:00:00,2715.0,951.0,1764.0,,344615,272558.0,,144113.0,72057.0,
37,2021-02-03T00:00:00,3716.0,779.0,2937.0,,348331,273337.0,,149987.0,74994.0,
38,2021-02-04T00:00:00,6724.0,741.0,5983.0,,355055,274078.0,,161954.0,80977.0,
39,2021-02-05T00:00:00,7694.0,840.0,6854.0,,362749,274918.0,,175662.0,87831.0,
40,2021-02-06T00:00:00,9917.0,1175.0,8742.0,,372666,276093.0,,193146.0,96573.0,
41,2021-02-07T00:00:00,6518.0,1347.0,5171.0,,379184,277440.0,,203487.0,101744.0,
42,2021-02-08T00:00:00,6987.0,2568.0,4419.0,,386171,280008.0,,212326.0,106163.0,
43,2021-02-09T00:00:00,12462.0,3096.0,9366.0,,398633,283104.0,,231058.0,115529.0,
44,2021-02-10T00:00:00,13486.0,3290.0,10196.0,,412119,286394.0,,251449.0,125725.0,
45,2021-02-11T00:00:00,14717.0,3454.0,11263.0,,426836,289848.0,,273975.0,136988.0,
46,2021-02-12T00:00:00,15605.0,1311.0,14294.0,,442441,291159.0,,302563.0,151282.0,
47,2021-02-13T00:00:00,14506.0,1481.0,13025.0,,456947,292640.0,,328614.0,164307.0,
48,2021-02-14T00:00:00,10679.0,343.0,10336.0,,467626,292983.0,,349286.0,174643.0,
49,2021-02-15T00:00:00,7698.0,204.0,7494.0,,475324,293187.0,,364274.0,182137.0,
50,2021-02-16T00:00:00,5053.0,256.0,4797.0,,480377,293443.0,,373867.0,186934.0,
51,2021-02-17T00:00:00,9107.0,675.0,8432.0,,489484,294118.0,,390731.0,195366.0,
52,2021-02-18T00:00:00,12383.0,1947.0,10436.0,,501867,296065.0,,411604.0,205802.0,
53,2021-02-19T00:00:00,16967.0,5054.0,11913.0,,518834,301119.0,,435429.0,217715.0,
54,2021-02-20T00:00:00,21295.0,9859.0,11436.0,,540129,310978.0,,458301.0,229151.0,
55,2021-02-21T00:00:00,16404.0,9633.0,6771.0,,556533,320611.0,,471843.0,235922.0,
56,2021-02-22T00:00:00,12922.0,8175.0,4747.0,,569455,328786.0,,481337.0,240669.0,
57,2021-02-23T00:00:00,16252.0,9879.0,6373.0,,585707,338665.0,,494083.0,247042.0,
58,2021-02-24T00:00:00,17141.0,12593.0,4548.0,,602848,351258.0,,503180.0,251590.0,
59,2021-02-25T00:00:00,19112.0,15253.0,3859.0,,621960,366511.0,,510897.0,255449.0,
60,2021-02-26T00:00:00,21805.0,19240.0,2565.0,,643765,385751.0,,516028.0,258014.0,
61,2021-02-27T00:00:00,24339.0,21381.0,2958.0,,668104,407132.0,,521943.0,260972.0,
62,2021-02-28T00:00:00,19167.0,18036.0,1131.0,,687271,425168.0,,524205.0,262103.0,
63,2021-03-01T00:00:00,17424.0,16313.0,1111.0,,704695,441481.0,,526427.0,263214.0,
64,2021-03-02T00:00:00,22326.0,20644.0,1682.0,,727021,462125.0,,529792.0,264896.0,
65,2021-03-03T00:00:00,27398.0,25584.0,1814.0,,754419,487709.0,,533420.0,266710.0,
66,2021-03-04T00:00:00,30409.0,29001.0,1408.0,,784828,516710.0,,536235.0,268118.0,
67,2021-03-05T00:00:00,35886.0,34941.0,945.0,,820714,551651.0,,538126.0,269063.0,
68,2021-03-06T00:00:00,39698.0,38136.0,1562.0,,860412,589787.0,,541250.0,270625.0,
69,2021-03-07T00:00:00,30192.0,29010.0,1182.0,,890604,618797.0,,543614.0,271807.0,
70,2021-03-08T00:00:00,21882.0,20013.0,1869.0,,912486,638810.0,,547352.0,273676.0,
71,2021-03-09T00:00:00,31047.0,28530.0,2517.0,,943533,667340.0,,552385.0,276193.0,
72,2021-03-10T00:00:00,35264.0,32253.0,3011.0,,978797,699593.0,,558407.0,279204.0,
73,2021-03-11T00:00:00,40610.0,38100.0,2510.0,,1019407,737693.0,,563428.0,281714.0,
74,2021-03-12T00:00:00,43503.0,42469.0,1034.0,,1062910,780162.0,,565495.0,282748.0,
75,2021-03-13T00:00:00,53586.0,51648.0,1938.0,,1116496,831810.0,,569371.0,284686.0,
76,2021-03-14T00:00:00,41859.0,40930.0,929.0,,1158355,872740.0,,571229.0,285615.0,
77,2021-03-15T00:00:00,33198.0,31530.0,1668.0,,1191553,904270.0,,574566.0,287283.0,
78,2021-03-16T00:00:00,51579.0,49944.0,1635.0,,1243132,954214.0,,577836.0,288918.0,
79,2021-03-17T00:00:00,58202.0,56461.0,1741.0,,1301334,1010675.0,,581318.0,290659.0,
80,2021-03-18T00:00:00,58119.0,56509.0,1610.0,,1359453,1067184.0,,584537.0,292269.0,
81,2021-03-19T00:00:00,61146.0,58666.0,2480.0,,1420599,1125850.0,,589498.0,294749.0,
